timesteps,avg_waiting_time,max_waiting_time,throughput,reward
6960,0.0,0.0,54,-0.0
6970,1.8,4.0,72,-0.0023
6980,1.8181818181818181,4.0,90,-0.0048
6990,2.8666666666666667,7.0,106,-0.0185
7000,3.7,9.0,113,-0.038
7010,4.125,10.0,117,-0.0585
7020,2.909090909090909,10.0,126,-0.029
7030,0.0,0.0,8,-0.0
7040,0.0,0.0,27,-0.0
7050,0.0,0.0,44,-0.0
7060,1.0,1.0,62,-0.0001
7070,1.5714285714285714,3.0,81,-0.0021
7080,4.0,11.0,99,-0.0256
7090,6.473684210526316,21.0,111,-0.1339
7100,7.76,20.0,120,-0.2402
7110,7.111111111111111,17.0,125,-0.1406
7120,3.8260869565217392,8.0,131,-0.0446
7130,0.0,0.0,8,-0.0
7140,0.0,0.0,27,-0.0
7150,0.0,0.0,44,-0.0
7160,2.0,2.0,63,-0.0004
7170,5.0,12.0,80,-0.0263
7180,1.6666666666666667,2.0,98,-0.0009
7190,4.0,12.0,111,-0.024
7200,3.625,11.0,117,-0.0455
7210,7.148148148148148,17.0,122,-0.1997
7220,4.7272727272727275,14.0,128,-0.0852
7230,0.0,0.0,8,-0.0
7240,0.0,0.0,26,-0.0
7250,0.0,0.0,43,-0.0
7260,1.0,1.0,61,-0.0001
7270,3.3333333333333335,4.0,81,-0.0034
7280,3.142857142857143,8.0,98,-0.0108
7290,4.65,14.0,107,-0.0751
7300,9.314285714285715,24.0,117,-0.4474
7310,5.454545454545454,15.0,127,-0.109
7320,5.166666666666667,12.0,131,-0.1079
7330,0.0,0.0,9,-0.0
7340,0.0,0.0,26,-0.0
7350,0.0,0.0,44,-0.0
7360,4.0,4.0,63,-0.0032
7370,3.0,9.0,80,-0.0104
7380,7.333333333333333,19.0,99,-0.0968
7390,3.3529411764705883,8.0,109,-0.0271
7400,5.0,12.0,116,-0.0856
7410,2.95,9.0,122,-0.0287
7420,4.172413793103448,11.0,128,-0.0775
7430,0.0,0.0,9,-0.0
7440,0.0,0.0,27,-0.0
7450,0.0,0.0,45,-0.0
7460,3.0,5.0,63,-0.0026
7470,3.0,8.0,81,-0.0105
7480,3.2,6.0,99,-0.007
7490,3.272727272727273,7.0,106,-0.0158
7500,5.611111111111111,15.0,113,-0.0951
7510,4.230769230769231,12.0,118,-0.0712
7520,5.2727272727272725,16.0,124,-0.1032
7530,0.0,0.0,18,-0.0
7540,0.0,0.0,36,-0.0
7550,0.0,0.0,53,-0.0
7560,3.0,6.0,71,-0.0041
7570,3.5555555555555554,12.0,89,-0.0234
7580,3.3333333333333335,6.0,107,-0.0172
7590,8.91304347826087,16.0,114,-0.2353
7600,6.32,19.0,120,-0.1634
7610,4.518518518518518,17.0,127,-0.1084
7620,3.935483870967742,13.0,133,-0.079
7630,0.0,0.0,18,-0.0
7640,0.0,0.0,36,-0.0
7650,0.0,0.0,53,-0.0
7660,3.7142857142857144,7.0,72,-0.0132
7670,1.2857142857142858,2.0,90,-0.0013
7680,3.5,7.0,107,-0.026
7690,3.210526315789474,9.0,114,-0.0269
7700,5.6521739130434785,15.0,122,-0.1088
7710,6.379310344827586,25.0,128,-0.2557
7720,4.575757575757576,22.0,133,-0.1309
7730,0.0,0.0,18,-0.0
7740,0.0,0.0,36,-0.0
7750,0.0,0.0,54,-0.0
7760,2.25,3.0,72,-0.0023
7770,2.75,4.0,90,-0.0068
7780,2.888888888888889,7.0,103,-0.0118
7790,7.0,17.0,115,-0.1198
7800,3.0588235294117645,9.0,119,-0.0264
7810,3.9375,19.0,123,-0.0519
